nohup: ignoring input
[ Info: Progress 1.0% | step 80/8192 | elapsed 00:00:16 | remaining ≈ 00:26:22
[ Info: Progress 1.3% | step 107/8192 | elapsed 00:00:21 | remaining ≈ 00:26:01
[ Info: Progress 1.6% | step 135/8192 | elapsed 00:00:26 | remaining ≈ 00:25:33
[ Info: Progress 2.0% | step 162/8192 | elapsed 00:00:31 | remaining ≈ 00:25:30
[ Info: Progress 2.3% | step 190/8192 | elapsed 00:00:36 | remaining ≈ 00:25:14
[ Info: Progress 2.7% | step 219/8192 | elapsed 00:00:41 | remaining ≈ 00:24:55
[ Info: Progress 3.0% | step 247/8192 | elapsed 00:00:46 | remaining ≈ 00:24:55
[ Info: Progress 3.4% | step 276/8192 | elapsed 00:00:52 | remaining ≈ 00:24:39
[ Info: Progress 3.7% | step 303/8192 | elapsed 00:00:57 | remaining ≈ 00:24:33
[ Info: Progress 4.1% | step 332/8192 | elapsed 00:01:02 | remaining ≈ 00:24:31
[ Info: Progress 4.4% | step 361/8192 | elapsed 00:01:07 | remaining ≈ 00:24:18
[ Info: Progress 4.7% | step 389/8192 | elapsed 00:01:12 | remaining ≈ 00:24:10
[ Info: Progress 5.1% | step 415/8192 | elapsed 00:01:17 | remaining ≈ 00:24:09
[ Info: Progress 5.4% | step 442/8192 | elapsed 00:01:22 | remaining ≈ 00:24:04
[ Info: Progress 5.7% | step 471/8192 | elapsed 00:01:27 | remaining ≈ 00:23:53
[ Info: Progress 6.1% | step 500/8192 | elapsed 00:01:33 | remaining ≈ 00:23:44
[ Info: Progress 6.4% | step 528/8192 | elapsed 00:01:38 | remaining ≈ 00:23:42
[ Info: Progress 6.8% | step 555/8192 | elapsed 00:01:43 | remaining ≈ 00:23:37
[ Info: Progress 7.1% | step 584/8192 | elapsed 00:01:48 | remaining ≈ 00:23:28
[ Info: Progress 7.5% | step 612/8192 | elapsed 00:01:53 | remaining ≈ 00:23:26
[ Info: Progress 7.8% | step 640/8192 | elapsed 00:01:58 | remaining ≈ 00:23:18
[ Info: Progress 8.2% | step 669/8192 | elapsed 00:02:04 | remaining ≈ 00:23:09
[ Info: Progress 8.5% | step 697/8192 | elapsed 00:02:09 | remaining ≈ 00:23:07
[ Info: Progress 8.8% | step 724/8192 | elapsed 00:02:14 | remaining ≈ 00:23:02
